accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
-0.4574,-0.1136,0.1659,-1.5869,-24.292,-290.2222,circle
0.4104,-0.4907,0.8082,-8.9111,0.3662,14.5874,circle
0.3796,-0.4166,0.7609,-12.5732,-12.7563,27.2827,circle
0.3358,-0.5448,0.6761,-19.043,4.2114,30.8228,circle
0.3955,-0.1338,0.6135,-28.4424,88.9282,69.0308,circle
0.2633,-1.1429,1.4336,-5.249,36.6211,224.2431,circle
0.2633,-1.1429,1.4336,-5.249,36.6211,224.2431,circle
-0.8643,-0.5918,0.089,-104.6753,-111.145,-240.4785,circle
0.1466,1.1176,0.2089,-22.0947,190.3076,-73.9136,circle
1.0835,-0.7778,2.3053,31.7383,147.0337,181.8237,circle
-0.0314,-1.2494,0.6523,-25.8789,-181.7627,16.5405,circle
0.3558,-0.6345,0.6532,-2.7466,-12.6343,5.4932,circle
0.298,-0.5991,0.6355,-9.1553,18.0054,8.7891,circle
0.2919,-0.3879,0.5822,-6.7749,65.4297,55.2368,circle
0.6705,-0.2858,1.2903,40.1611,109.8633,139.8315,circle
-0.3413,-1.6621,1.6639,-72.1436,-190.0635,97.229,circle
-0.3413,-1.6621,1.6639,-72.1436,-190.0635,97.229,circle
-0.5988,0.7356,0.0253,-38.6963,150.1465,-120.2393,circle
1.0419,0.795,1.1302,85.2661,274.1089,142.6392,circle
0.3314,-1.7107,1.9436,41.3208,-109.0088,114.3799,circle
-0.6187,-0.984,0.3517,-34.8511,-129.9438,-46.6309,circle
0.3112,-0.2533,0.8636,-77.9419,-6.1035,-15.2588,shake
0.2723,-0.3312,0.9567,8.1787,7.3242,19.8364,shake
0.2585,-0.3842,0.9843,14.0381,-17.7612,12.9395,shake
-0.1134,-1.2151,0.9399,45.7764,-101.1963,-166.687,shake
-0.3816,2.0226,-1.6361,531.6162,-75.3174,-252.3193,shake
-0.3816,2.0226,-1.6361,531.6162,-75.3174,-252.3193,shake
-1.0541,0.8514,-2.5265,95.1538,-337.5854,-39.917,shake
0.5254,0.6168,1.2976,-25.6348,29.602,-14.4043,shake
0.2384,0.9357,1.0492,10.1929,274.231,2.3804,shake
-1.0054,1.0062,-1.5546,-42.1753,-427.9174,22.9492,shake
0.2338,-0.6204,1.6489,-234.2529,162.2925,103.9429,shake
0.2338,-0.6204,1.6489,-234.2529,162.2925,103.9429,shake
0.3875,0.0194,0.9003,-33.02,8.728,21.1792,shake
0.3276,-0.0482,0.936,8.667,3.2959,-0.1221,shake
0.348,0.0084,0.9425,12.9395,3.6621,0.8545,shake
0.314,-0.0405,0.9406,-11.1694,10.6201,15.8081,shake
0.2778,-0.1017,0.9664,-0.9766,5.3101,3.1738,shake
0.2845,-0.0514,0.9509,1.6479,-0.2441,-5.7983,shake
0.2897,-0.0549,0.9644,-2.3193,2.9907,0.4883,shake
0.2743,-0.0682,0.9636,-0.9155,3.6621,2.5635,shake
0.2509,-0.0721,0.9702,0.9766,1.2817,0.1831,shake
0.2522,-0.0702,0.9646,-0.061,-0.3662,0.6104,shake
0.2515,-0.0649,0.9646,1.1597,0.3052,0.7324,shake
0.0763,-0.658,1.1323,-7.019,-7.3853,-4.7607,shake
-0.2832,-1.046,1.4192,39.1846,-88.3789,-199.707,shake
-0.2832,-1.046,1.4192,39.1846,-88.3789,-199.707,shake
-0.5729,-1.5592,2.1442,60.852,-33.5083,27.0386,shake
-0.2892,1.1046,-0.2839,143.6768,46.3257,10.9253,shake
0.3928,-1.064,2.8314,-76.9653,157.959,133.1787,shake
0.0626,-0.5739,2.4528,-57.4341,425.9033,140.625,shake
0.21,-0.2838,0.9214,-20.0806,-9.2773,-1.0376,shake
0.2894,-0.4883,0.9316,-74.5239,-27.1606,-15.8691,shake
0.3779,-0.3722,0.8326,61.4014,-15.3198,-67.1997,shake
0.4218,-0.4457,1.3486,84.7168,-25.7568,-55.603,shake
0.3319,-0.5066,1.6732,153.4424,-461.4868,-182.1289,shake
0.3319,-0.5066,1.6732,153.4424,-461.4868,-182.1289,shake
3.01,1.0242,2.9545,-30.1514,374.3896,-14.3433,shake
-2.2538,0.1213,-2.2758,67.0166,-347.4121,12.3291,shake
1.9104,0.8502,1.6824,-63.2935,224.7925,-14.6484,shake
-2.2019,0.3962,-1.8357,46.814,-134.6436,-23.1934,shake
0.7324,-0.1062,1.7406,-226.8677,529.0527,174.7436,shake
0.7324,-0.1062,1.7406,-226.8677,529.0527,174.7436,shake
0.2229,-0.2257,0.9995,-49.9878,34.1187,47.3022,shake
0.1774,-0.252,0.9524,-27.0386,23.9868,34.4238,shake
0.1647,-0.3296,0.9368,-31.7993,-5.7373,5.9814,shake
0.1887,-0.3221,0.9136,-5.8594,-1.77,9.3384,shake
0.1431,-0.3818,0.9119,-21.7285,11.3525,18.3105,shake
-0.0844,-0.7631,0.9705,7.7515,-6.4087,-1.1597,shake
0.7434,0.7834,1.0721,-13.4277,18.6157,-95.1538,shake
-1.2345,-1.9149,0.8337,27.2217,-63.9038,174.0112,shake
0.2174,-0.3983,0.8691,22.4609,-45.4712,-20.2637,shake
0.2319,-0.3431,0.9691,11.1084,-7.7515,-27.0386,shake
0.2551,-0.2797,0.8507,-80.6274,-14.8926,60.9741,shake
-0.3984,-0.9629,0.8779,-52.7344,3.9673,70.9839,shake
1.9014,0.9977,0.5673,8.0566,11.6577,-183.6548,shake
1.9014,0.9977,0.5673,8.0566,11.6577,-183.6548,shake
-0.5977,-0.1377,0.9098,-17.7002,-29.2969,-170.8984,shake
-0.5505,-0.1675,0.9331,31.7993,-12.5732,212.5244,shake
1.0214,0.8108,0.8578,-45.7764,4.0894,-280.8838,shake
-2.4104,-0.9471,1.1029,77.6978,-35.6445,298.2788,shake
0.1666,-0.3961,0.9347,9.9487,-2.9907,13.4277,shake
-0.2782,-0.5961,1.1298,-16.3574,6.1035,4.0894,shake
0.4933,0.3695,0.6276,-77.8809,-6.5918,-239.624,shake
-0.3806,0.1184,0.9629,26.5503,-3.2959,314.4531,shake
-3.16,-1.7103,1.2461,11.6577,-35.4614,93.75,shake
-3.16,-1.7103,1.2461,11.6577,-35.4614,93.75,shake
-2.4847,-1.3389,1.1215,16.4795,-19.4092,18.9209,shake
1.87,1.2015,0.7173,8.606,16.3574,42.0532,shake
-3.4629,-1.8802,1.2821,38.7573,-18.2495,239.4409,shake
1.4733,1.0582,0.6145,3.1738,6.3477,70.3735,shake
0.5162,-0.2467,0.8751,-7.9956,-20.5078,2.3804,shake
0.4476,-0.5918,1.125,0.1221,-55.7861,27.8931,shake
0.0762,-0.113,0.4993,87.6465,-224.4873,-338.623,shake
-0.1569,-0.1069,0.4999,23.0103,176.9409,126.709,shake
0.2087,-1.8279,2.2559,137.6343,-341.5527,-352.539,shake
0.2087,-1.8279,2.2559,137.6343,-341.5527,-352.539,shake
0.4487,-0.7432,1.6865,1.0376,-91.8579,-55.542,shake
-0.3966,0.8318,-0.3823,32.1655,119.2627,55.2368,shake
1.2233,-0.8256,2.4633,83.0688,-223.0224,-147.8271,shake
0.6023,-0.5328,2.4419,-0.1221,453.5522,190.5517,shake
0.4938,-0.3937,1.0406,16.9067,-11.8408,-39.6118,shake
0.542,-0.922,1.2726,3.7231,-58.4717,-51.9409,shake
-0.4156,0.4647,-0.0728,132.8735,-323.9135,-401.5503,shake
-0.3896,0.2937,0.6028,11.0474,358.2763,130.3101,shake
0.8969,-0.1732,1.7832,98.2666,-255.4931,-139.2212,shake
0.8969,-0.1732,1.7832,98.2666,-255.4931,-139.2212,shake
2.5911,-0.3192,3.3254,-109.9243,358.7036,135.376,shake
-2.4872,1.2174,-2.1246,100.5249,-390.1367,-156.9214,shake
2.472,-0.4319,3.0427,-93.5669,418.5791,143.0664,shake
-2.0745,1.4803,-1.9677,80.7495,-377.0752,-190.3686,shake
0.3962,-0.3036,0.913,-92.2851,70.8618,131.7749,shake
0.3918,-0.3817,0.949,-47.6074,42.1753,104.6143,shake
0.3231,-0.3444,0.8751,-9.3384,-6.5308,-2.0752,shake
0.2969,-0.4993,1.0005,-5.7373,1.709,17.395,shake
0.0034,-1.3912,1.0706,-92.3462,-94.1772,-190.4297,shake
0.0034,-1.3912,1.0706,-92.3462,-94.1772,-190.4297,shake
-0.1403,-2.8892,1.3525,-105.896,171.9971,436.4013,shake
-0.2153,2.0198,-0.1853,107.2998,-145.813,-475.4638,shake
-0.2616,-2.5349,1.0837,-79.5898,133.728,457.8247,shake
-0.0037,1.6278,0.2177,106.2012,-94.3603,-440.6738,shake
0.3639,-0.4159,0.8995,-23.5596,-14.1602,13.0005,swipe_h
0.3107,-0.4039,0.8372,0.2441,-8.2397,26.062,swipe_h
0.1326,-0.3671,0.8467,10.1318,5.4932,42.1143,swipe_h
-0.2495,-0.6697,0.8689,18.7378,9.2163,62.1338,swipe_h
-1.1694,-1.2726,0.8602,5.0659,44.1894,-153.3813,swipe_h
-1.1694,-1.2726,0.8602,5.0659,44.1894,-153.3813,swipe_h
0.4069,1.4136,0.6025,3.479,-80.1392,-285.8276,swipe_h
0.5492,0.9341,0.4948,-56.2134,-33.2642,-51.3306,swipe_h
0.5474,0.3524,0.6368,-22.8882,-3.6621,56.3354,swipe_h
0.568,-0.0027,0.8486,-31.0059,36.7432,73.4863,swipe_h
0.215,0.5148,0.8777,-2.8076,5.0049,-147.2168,swipe_h
0.1853,0.6329,0.8621,-7.019,3.54,-77.2095,swipe_h
0.1023,0.5956,0.8828,-11.2305,14.7705,-37.3535,swipe_h
0.101,1.0378,0.7463,-23.6206,27.71,21.9116,swipe_h
-0.3945,2.1556,0.6985,-135.1929,49.9268,243.7134,swipe_h
-0.3945,2.1556,0.6985,-135.1929,49.9268,243.7134,swipe_h
-1.7997,-1.1792,0.4128,-65.0635,-94.4824,453.3081,swipe_h
-0.3767,-0.5294,1.0967,25.8179,82.2143,39.0625,swipe_h
-0.1237,-0.2187,1.0117,18.9819,-30.3955,-54.9316,swipe_h
-0.0663,-0.2606,0.9377,-4.8828,-36.8042,-40.8325,swipe_h
0.2028,-0.225,0.9369,-7.3242,-30.8228,-33.9355,swipe_h
0.2195,-0.2052,0.8772,-6.8359,-5.0659,-8.4229,swipe_h
0.1573,-0.2908,0.9574,-2.5024,6.6528,-0.061,swipe_h
-0.1515,-0.6674,1.0011,-3.8452,15.564,-32.2876,swipe_h
-1.0406,-0.7921,1.2191,-39.6729,-47.3633,-224.4873,swipe_h
-1.0406,-0.7921,1.2191,-39.6729,-47.3633,-224.4873,swipe_h
0.4742,1.4506,0.6644,11.1694,-63.3545,-375.2441,swipe_h
0.5022,1.1588,0.6749,-53.2837,-3.1128,-93.0176,swipe_h
0.3683,0.275,0.7865,21.3623,-1.2207,17.8223,swipe_h
0.5042,0.3417,0.8695,61.4624,24.9634,26.123,swipe_h
0.2551,0.516,0.932,38.0249,12.207,-15.7471,swipe_h
0.3962,0.3293,0.7395,-20.6909,-41.9311,-15.1978,swipe_h
0.207,0.385,0.7872,-32.2876,-14.4043,-89.2944,swipe_h
0.0858,1.2183,0.7255,-29.48,12.0239,-91.1865,swipe_h
-0.3995,1.7755,0.7324,-57.0679,35.4004,160.9497,swipe_h
-0.3995,1.7755,0.7324,-57.0679,35.4004,160.9497,swipe_h
-1.0052,-0.9808,0.8271,-85.2661,29.0527,435.4858,swipe_h
-0.3628,-0.8138,0.8152,-2.9907,45.227,110.7178,swipe_h
-0.0808,-0.4214,1.1627,7.5684,47.1802,-9.8267,swipe_h
-0.0388,-0.1978,0.8599,-14.5264,-10.9253,14.8926,swipe_h
-0.069,-0.5389,0.9094,-0.4883,4.4556,14.5264,swipe_h
-0.5562,-1.2826,0.8647,13.4888,9.8877,-88.4399,swipe_h
-1.157,-0.8756,0.4823,36.377,-0.1831,-355.4077,swipe_h
-1.1667,0.0331,0.8988,33.3252,18.3105,-499.4507,swipe_h
-0.3439,1.7722,1.2562,0.9766,37.1094,-318.6035,swipe_h
-0.3439,1.7722,1.2562,0.9766,37.1094,-318.6035,swipe_h
0.1785,0.0964,0.9709,4.6997,6.4087,4.8218,swipe_h
0.1948,0.0977,0.9913,4.8218,0.4883,5.3101,swipe_h
0.2146,0.0657,1.0286,7.6294,6.897,11.4746,swipe_h
0.1589,0.1849,0.974,3.9673,-3.479,9.7656,swipe_h
0.031,0.196,1.0239,7.7515,40.4053,-33.3862,swipe_h
-0.0745,0.3035,0.9004,2.1362,30.2124,-29.3579,swipe_h
-0.2479,0.6938,0.8701,-48.645,51.0864,-16.5405,swipe_h
-1.032,1.0521,1.123,-129.0894,17.9443,223.6938,swipe_h
-1.032,1.0521,1.123,-129.0894,17.9443,223.6938,swipe_h
-0.8593,-1.1508,0.0751,-213.562,-158.6304,280.3345,swipe_h
-0.4667,-0.8848,0.4529,-11.7187,-50.1099,102.1728,swipe_h
-0.108,-0.6793,0.9344,23.1934,2.9907,-0.6104,swipe_h
-0.1542,-0.3756,0.8345,6.897,-4.5776,-6.1646,swipe_h
-0.1542,-0.5426,0.8728,-4.5166,-10.1318,12.6953,swipe_h
0.104,-0.5011,0.8099,-20.5688,14.4043,-89.3555,swipe_h
0.0632,-0.2616,0.9049,20.752,-4.0894,-21.6064,swipe_h
0.1373,-0.4166,0.8879,45.4102,-16.4795,45.166,swipe_h
0.0204,-1.0022,0.8326,11.2305,6.4697,9.7046,swipe_h
-0.4094,-1.6405,0.7161,-42.7246,49.4995,-303.7109,swipe_h
-0.4094,-1.6405,0.7161,-42.7246,49.4995,-303.7109,swipe_h
-0.3562,0.8411,1.1084,17.5171,23.3765,-268.3105,swipe_h
-0.0515,0.6973,0.9946,-10.5591,0.8545,-51.2085,swipe_h
0.2164,0.2024,0.918,0.1221,-1.5869,24.5972,swipe_h
0.2869,0.0596,0.9919,6.958,1.8921,44.4946,swipe_h
0.3318,0.1023,0.9352,-4.8218,14.3433,-8.3008,swipe_h
0.2511,0.2396,0.9529,-7.4463,9.5215,-48.4619,swipe_h
-0.0051,0.8325,0.932,27.4048,13.0005,-21.7895,swipe_h
-0.5406,1.4542,0.8201,6.2866,43.457,294.9219,swipe_h
-0.5406,1.4542,0.8201,6.2866,43.457,294.9219,swipe_h
-0.4823,-1.5858,1.0925,-74.2798,64.6973,456.604,swipe_h
-0.2479,-0.4889,1.0585,8.5449,17.7002,31.6162,swipe_h
-0.0516,-0.2424,1.024,10.437,-11.2915,-22.0947,swipe_h
-0.0132,-0.1461,0.9567,4.3335,-7.6904,-5.7373,swipe_h
-0.0649,-0.223,0.9778,5.9814,-5.188,3.1128,swipe_h
0.0292,-0.1071,1.0209,18.0054,-20.1416,1.77,swipe_h
0.0637,-0.0359,0.9642,26.6724,-23.2544,7.5073,swipe_h
-0.1252,-0.4283,1.1565,7.5073,-10.9253,-1.0986,swipe_h
